HGNC ID	Approved symbol	Approved name	Locus type	NCBI Gene ID(supplied by NCBI)
HGNC:5	A1BG	alpha-1-B glycoprotein	gene with protein product	1
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	RNA, long non-coding	503538
HGNC:24086	A1CF	APOBEC1 complementation factor	gene with protein product	29974
HGNC:7	A2M	alpha-2-macroglobulin	gene with protein product	2
HGNC:27057	A2M-AS1	A2M antisense RNA 1	RNA, long non-coding	144571
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	gene with protein product	144568
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1	RNA, long non-coding	100874108
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2	RNA, long non-coding	106478979
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	pseudogene	3
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	gene with protein product	127550
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	gene with protein product	53947
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	gene with protein product	51146
HGNC:13666	AAAS	aladin WD repeat nucleoporin	gene with protein product	8086
HGNC:21298	AACS	acetoacetyl-CoA synthetase	gene with protein product	65985
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	pseudogene	729522
HGNC:17	AADAC	arylacetamide deacetylase	gene with protein product	13
HGNC:24427	AADACL2	arylacetamide deacetylase like 2	gene with protein product	344752
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1	RNA, long non-coding	101928142
HGNC:32037	AADACL3	arylacetamide deacetylase like 3	gene with protein product	126767
HGNC:32038	AADACL4	arylacetamide deacetylase like 4	gene with protein product	343066
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1	pseudogene	201651
HGNC:17929	AADAT	aminoadipate aminotransferase	gene with protein product	51166
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	gene with protein product	79719
HGNC:19679	AAK1	AP2 associated kinase 1	gene with protein product	22848
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	gene with protein product	28971
HGNC:18	AAMP	angio associated migratory cell protein	gene with protein product	14
HGNC:19	AANAT	aralkylamine N-acetyltransferase	gene with protein product	15
HGNC:15886	AAR2	AAR2 splicing factor	gene with protein product	25980
HGNC:33842	AARD	alanine and arginine rich domain containing protein	gene with protein product	441376
HGNC:20	AARS1	alanyl-tRNA synthetase 1	gene with protein product	16
HGNC:49894	AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1	pseudogene	106480683
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	gene with protein product	57505
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	gene with protein product	80755
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	gene with protein product	132949
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	gene with protein product	60496
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	gene with protein product	10157
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer	RNA, long non-coding	284837
HGNC:19235	AATF	apoptosis antagonizing transcription factor	gene with protein product	26574
HGNC:21	AATK	apoptosis associated tyrosine kinase	gene with protein product	9625
HGNC:22	AAVS1	adeno-associated virus integration site 1	virus integration site	17
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	RNA, long non-coding	103021294
HGNC:23	ABAT	4-aminobutyrate aminotransferase	gene with protein product	18
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	gene with protein product	19
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	gene with protein product	20
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	gene with protein product	21
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	gene with protein product	24
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	gene with protein product	23461
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	gene with protein product	23460
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	gene with protein product	10347
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	gene with protein product	10351
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	gene with protein product	10350
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1	RNA, long non-coding	104355297
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	gene with protein product	10349
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	pseudogene	79963
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	gene with protein product	26154
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13	gene with protein product	154664
HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	pseudogene	650655
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	gene with protein product	5243
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	gene with protein product	5244
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	gene with protein product	340273
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	gene with protein product	10058
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	gene with protein product	22
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	gene with protein product	11194
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	gene with protein product	23457
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	gene with protein product	23456
HGNC:14114	ABCB10P1	ABCB10 pseudogene 1	pseudogene	56476
HGNC:31129	ABCB10P3	ABCB10 pseudogene 3	pseudogene	728248
HGNC:31130	ABCB10P4	ABCB10 pseudogene 4	pseudogene	100132289
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	gene with protein product	8647
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	gene with protein product	4363
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	gene with protein product	1244
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	gene with protein product	8714
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	gene with protein product	10257
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	gene with protein product	10057
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1	RNA, long non-coding	100873982
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	gene with protein product	368
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	pseudogene	653190
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	pseudogene	730013
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	gene with protein product	6833
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	gene with protein product	10060
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	gene with protein product	89845
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	gene with protein product	85320
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	gene with protein product	94160
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	pseudogene	150000
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	gene with protein product	215
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	pseudogene	23785
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	pseudogene	26983
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	pseudogene	26982
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	pseudogene	26957
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	pseudogene	642762
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	gene with protein product	225
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	gene with protein product	5825
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	gene with protein product	5826
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	gene with protein product	6059
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	gene with protein product	23
HGNC:53628	ABCF1-DT	ABCF1 divergent transcript	RNA, long non-coding	107986587
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	gene with protein product	10061
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	pseudogene	344653
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	pseudogene	100422059
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	gene with protein product	55324
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	gene with protein product	9619
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	gene with protein product	9429
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4	gene with protein product	64137
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5	gene with protein product	64240
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8	gene with protein product	64241
HGNC:17553	ABHD1	abhydrolase domain containing 1	gene with protein product	84696
HGNC:18717	ABHD2	abhydrolase domain containing 2	gene with protein product	11057
HGNC:18718	ABHD3	abhydrolase domain containing 3	gene with protein product	171586
HGNC:20154	ABHD4	abhydrolase domain containing 4	gene with protein product	63874
HGNC:21396	ABHD5	abhydrolase domain containing 5	gene with protein product	51099
HGNC:21398	ABHD6	abhydrolase domain containing 6	gene with protein product	57406
HGNC:23759	ABHD8	abhydrolase domain containing 8	gene with protein product	79575
HGNC:25656	ABHD10	abhydrolase domain containing 10	gene with protein product	55347
HGNC:16407	ABHD11	abhydrolase domain containing 11	gene with protein product	83451
HGNC:18289	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	RNA, long non-coding	171022
HGNC:15868	ABHD12	abhydrolase domain containing 12	gene with protein product	26090
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	gene with protein product	145447
HGNC:20293	ABHD13	abhydrolase domain containing 13	gene with protein product	84945
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	gene with protein product	25864
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	readthrough	100526760
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	gene with protein product	84836
HGNC:26971	ABHD15	abhydrolase domain containing 15	gene with protein product	116236
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1	RNA, long non-coding	104355133
HGNC:13921	ABHD16A	abhydrolase domain containing 16A	gene with protein product	7920
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	gene with protein product	140701
HGNC:28756	ABHD17A	abhydrolase domain containing 17A	gene with protein product	81926
HGNC:28394	ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	pseudogene	728917
HGNC:34041	ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	pseudogene	648359
HGNC:34042	ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	pseudogene	729495
HGNC:34043	ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	pseudogene	91219
HGNC:34044	ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	pseudogene	644988
HGNC:38508	ABHD17AP7	abhydrolase domain containing 17A pseudogene 7	pseudogene	100133212
HGNC:38509	ABHD17AP8	abhydrolase domain containing 17A pseudogene 8	pseudogene	647144
HGNC:38510	ABHD17AP9	abhydrolase domain containing 17A pseudogene 9	pseudogene	100132251
HGNC:24278	ABHD17B	abhydrolase domain containing 17B	gene with protein product	51104
HGNC:26925	ABHD17C	abhydrolase domain containing 17C	gene with protein product	58489
HGNC:26111	ABHD18	abhydrolase domain containing 18	gene with protein product	80167
HGNC:11320	ABI1	abl interactor 1	gene with protein product	10006
HGNC:20035	ABI1P1	abl interactor 1 pseudogene 1	pseudogene	326268
HGNC:24011	ABI2	abl interactor 2	gene with protein product	10152
HGNC:29859	ABI3	ABI family member 3	gene with protein product	51225
HGNC:17265	ABI3BP	ABI family member 3 binding protein	gene with protein product	25890
HGNC:1364	ABITRAM	actin binding transcription modulator	gene with protein product	54942
HGNC:39851	ABITRAMP1	ABITRAM pseudogene 1	pseudogene	390403
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	gene with protein product	25
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	gene with protein product	27
HGNC:78	ABLIM1	actin binding LIM protein 1	gene with protein product	3983
HGNC:19195	ABLIM2	actin binding LIM protein family member 2	gene with protein product	84448
HGNC:29132	ABLIM3	actin binding LIM protein family member 3	gene with protein product	22885
HGNC:79	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	gene with protein product	28
HGNC:81	ABR	ABR activator of RhoGEF and GTPase	gene with protein product	29
HGNC:30655	ABRA	actin binding Rho activating protein	gene with protein product	137735
HGNC:21230	ABRACL	ABRA C-terminal like	gene with protein product	58527
HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	gene with protein product	84142
